ID,QUERY,L1_primary_intent,L2_information_need,L3_constraints,reasoning,in_subset_30
1,请分析 Youtube 上 '#CozyGaming' 标签下最近 30 天的热门视频，识别出除了键盘鼠标之外，出现频率最高的 3 种桌面装饰配件（如异形氛围灯、手腕托），并结合 Google Trends 验证其过去 3 个月的搜索热度是否呈上升趋势。,product_discovery,trending_analysis|platform_data,,"The query asks to analyze trending videos under the '#CozyGaming' tag on YouTube to identify frequently appearing desktop decor accessories (excluding keyboards/mice), and to verify their rising search trends with Google Trends. This is primarily about discovering popular products (product_discovery), involves analyzing trends (trending_analysis), and uses platform-specific data (platform_data). No explicit constraints such as certification, MOQ, region, etc. are mentioned.",0
2,"请抓取 Amazon US 站 'Yoga Mats' 类目 BSR 前 50 名的产品。分析：
1.最畅销的厚度是多少（如 6mm vs 10mm）？
2.只有哪些特定材质（TPE vs 橡胶）的产品进入了前 20 名？
3.是否有 30 美元以上的高客单价产品进入榜单，它们的主打卖点是什么？”",market_research,sales_data|platform_data|price_comparison|review_analysis,,"The query requests analysis of the Amazon US Yoga Mats category, focusing on best sellers (BSR), product thickness, material types, price points, and main selling points. The main goal is to understand market dynamics and product characteristics, which is market research. The information needs include sales data (BSR ranking, best sellers), platform data (Amazon US), price comparison (products above $30), and review analysis (main selling points often inferred from reviews). No explicit constraints on certification, MOQ, region, logistics, customization, or technical quality are mentioned.",0
3,由于目前使用的不锈钢厨具容易粘锅且手柄导热过快，请推荐几种采用新材料技术（如蜂窝悬浮或陶瓷涂层）且具有隔热防烫设计的商用锅具方案。,product_discovery,,quality_specification,"The user is seeking recommendations for commercial cookware that uses new material technologies and features heat-insulating handles, indicating a search for products with specific technical and quality requirements. There is no explicit mention of suppliers, sales data, or market analysis, so only product discovery applies at L1. At L3, 'quality_specification' is selected due to the requirements for non-stick performance, material technology (e.g., honeycomb suspension, ceramic coating), and heat insulation design.",0
4,寻找一款单价低于 $15、起订量（MOQ）小于 500 件、必须支持 DDP 到美国、且具备 FDA 认证的便携式咖啡研磨机。,supplier_sourcing,price_comparison|supplier_evaluation,certification_required|moq_price_constraint|logistics_shipping|region_specific,"The user is seeking suppliers for a specific product (portable coffee grinder) with explicit requirements for unit price, MOQ, shipping method (DDP to USA), and FDA certification. This is classic supplier sourcing. Information needs include price comparison (unit price constraint) and supplier evaluation (must support DDP and have FDA certification). The constraints are FDA certification, price and MOQ limits, DDP shipping to the USA, and region-specific delivery.",1
5,"Purpose: We are looking for a snack & beverage vending machine to be placed in our live-action role-play (LARP) entertainment venue (script-based immersive game store) in Boston, USA.

Key Requirements:

Capacity: Should hold between 75 to 300 items (mixed snacks and bottled/canned drinks).

Payment: Must support QR code payment, coins, and cashless options like WeChat Pay, Zelle, PayPal, or other US-compliant systems.

Functionality: Indoor use only. Refrigeration for drinks preferred.

Customization: Would prefer custom branding or decals on the machine (optional but ideal).

User interface: Simple interface with buttons or touchscreen.

Shipping: Please include cost estimation for shipping to Boston, Massachusetts, USA.

Quantity: 1_2 units to start.
Timeline: Ready to order within 2_3 weeks.
Target Supplier: Must be able to support international orders.

Please provide full specifications, lead time, and payment options.",supplier_sourcing,platform_data|price_comparison|supplier_evaluation,moq_price_constraint|logistics_shipping|customization_oem|region_specific|quality_specification,"The main goal is to find a supplier for a vending machine with specific requirements, indicating supplier_sourcing. The user asks for shipping cost, specifications, and payment options (platform_data), cost estimation (price_comparison), and information necessary to judge supplier suitability (supplier_evaluation). Constraints include MOQ (1-2 units), shipping to the USA (logistics_shipping, region_specific), desire for custom branding (customization_oem), and specific technical requirements like capacity, payment systems, and refrigeration (quality_specification).",1
6,"Por favor podrás ayudarme a buscar este equipo comparto las especificaciones del equipo:\\nEquipo de ultrasonido portátil, pantalla de 15 pulgadas, salidas de vídeo HDMI, USB, corriente 110 voltios, calidad de imagen media y alta profesional, puerto para 2 sondas o 3 sondas activos, teclado iluminado, botoneria de alta calidad , tipos de visualización B , B/B , B/M , M , botón de impresión, con almacenamiento interno, zoom de calidad media alta, y alta, biometria fetal profesional, mediciones por especialidad médica, visibles en la pantalla, dise_o externo elegante , que el fabricante tenga la opción de cambio de color externo",product_discovery,,quality_specification|customization_oem,"The user is seeking to find a portable ultrasound device with a detailed list of required technical specifications and features (screen size, output ports, voltage, image quality, probe ports, illuminated keyboard, visualization types, storage, zoom, fetal biometrics, specialty measurements, external design, and color change options). There is no mention of sales data, competitor analysis, or supplier evaluation, only a detailed product spec list and a request for manufacturer capability for color customization. Thus, the primary intent is product_discovery, with constraints on quality_specification and customization_oem.",1
7,"Find profitable consumer goods that are currently trending or showing rising demand in Mongolia in 2025. Focus on items with low import barriers, high local consumer interest, and good wholesale margins. Show recent sales volume, estimated retail price in Ulaanbaatar, and reliable Chinese or international suppliers with MoQs under 500 units. Provide market insights, social media interest trends among Mongolian consumers, and shipping/logistics considerations specific to Mongolia.",product_discovery,trending_analysis|sales_data|price_comparison|platform_data|supplier_evaluation|competitor_analysis,moq_price_constraint|region_specific|logistics_shipping,"The query seeks to discover trending, profitable products (product_discovery), requests data on trends, sales, prices, platforms, competitors, and suppliers (L2), and specifies constraints on MOQ, region (Mongolia), and logistics.",1
8,"Source a coffee machine accessories, logo branding, and support for small-batch OEM. Prioritize suppliers with export experience, CEcertifications. I want to sell theese at Amazon US market.",supplier_sourcing,supplier_evaluation|platform_data,certification_required|customization_oem|region_specific,"The main goal is to find suppliers for coffee machine accessories who can provide logo branding and support small-batch OEM, indicating supplier sourcing. The user also wants suppliers with export experience and CE certifications (supplier_evaluation), and specifies selling on Amazon US (platform_data, region_specific). Constraints include CE certification (certification_required), OEM/custom branding (customization_oem), and focus on the US market (region_specific).",1
9,Find personal care gadgets with growth potential in the Latin American market that currently have a sourcing price below $2 on 1688 or Alibaba.,product_discovery,trending_analysis|platform_data|price_comparison,moq_price_constraint|region_specific,"The user wants to find (discover) personal care gadgets with growth potential (trending_analysis) specifically for the Latin American market (region_specific), and requires current sourcing prices below $2 on platforms like 1688 or Alibaba (platform_data, price_comparison, moq_price_constraint). The main goal is product discovery, not supplier sourcing or market research per se.",1
10,"Analyze which formerly viral products are now in a saturated market, leading suppliers to clear inventory at reduced prices.",market_research,trending_analysis|sales_data|price_comparison,,"The query seeks analysis of products that were once viral (trending_analysis), are now saturated (sales_data indicating decline), and are being cleared at reduced prices (price_comparison). The focus is on understanding market saturation and inventory clearance, which aligns with market research. No explicit constraints are mentioned.",0
